CODE,MDC,PDC,CC,MAINCC,CCROW,DCLMAIN,HIV_AX,TRAUMA,SEX,ACCPDX,AGEDUSE,AGEMIN,AGEMAX,AGEDMIN,MOSDX
A409,18,18A,True,A400,99,A400,D,N,B,Y,N,0,124,0,0.0
A410,18,18A,True,A410,99,A410,D,N,B,Y,N,0,124,0,0.0
A411,18,18A,True,A410,99,A411,D,N,B,Y,N,0,124,0,0.0
A412,18,18A,True,A410,99,A412,D,N,B,Y,N,0,124,0,0.0
A413,18,18A,True,A410,99,A413,D,N,B,Y,N,0,124,0,0.0
A414,18,18A,True,A414,99,A413,D,N,B,Y,N,0,124,0,0.0
A415,18,18A,True,A410,99,A415,D,N,B,Y,N,0,124,0,0.0
A418,18,18A,True,A410,99,A418,D,N,B,Y,N,0,124,0,0.0
A419,18,18A,True,A410,99,A419,D,N,B,Y,N,0,124,0,0.0
A420,04,4C,True,A420,99,A420,D,N,B,Y,N,0,124,0,0.0
A421,18,18H,True,A421,99,A420,D,N,B,Y,N,0,124,0,0.0
A422,09,9C,True,A422,99,A420,D,N,B,Y,N,0,124,0,0.0
A427,18,18H,True,A427,99,A420,D,N,B,Y,N,0,124,0,0.0
A428,18,18H,True,A427,99,A420,D,N,B,Y,N,0,124,0,0.0
A429,18,18H,True,A427,99,A420,D,N,B,Y,N,0,124,0,0.0
A430,04,4C,True,A430,99,A430,D,N,B,Y,N,0,124,0,0.0
A431,09,9C,True,A431,99,A430,D,N,B,Y,N,0,124,0,0.0
A438,18,18H,True,A438,99,A430,D,N,B,Y,N,0,124,0,0.0
A439,18,18H,True,A438,99,A430,D,N,B,Y,N,0,124,0,0.0
A440,18,18H,True,A240,99,A440,,N,B,Y,N,0,124,0,0.0
A441,18,18H,True,A240,99,A440,,N,B,Y,N,0,124,0,0.0
A448,18,18H,True,A240,99,A440,,N,B,Y,N,0,124,0,0.0
A449,18,18H,True,A240,99,A440,,N,B,Y,N,0,124,0,0.0
A46,09,9G,True,A46,99,A46,,N,B,Y,N,0,124,0,0.0
A480,18,18H,True,A480,99,A480,,N,B,Y,N,0,124,0,0.0
A481,04,4C,True,A481,99,A481,D,N,B,Y,N,0,124,0,0.0
A482,18,18A,True,A482,99,A482,D,N,B,Y,N,0,124,0,0.0
A483,18,18A,True,A483,99,A483,,N,B,Y,N,0,124,0,0.0
A484,18,18A,False,,0,,,N,B,Y,N,0,124,0,0.0
A488,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A490,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A491,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A492,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A493,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A498,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A499,18,18A,False,,0,,,N,B,Y,N,0,124,0,0.0
A500,18,18H,True,A500,99,A500,,N,B,Y,N,0,2,0,0.0
A501,18,18H,True,A501,99,A500,,N,B,Y,N,0,2,0,0.0
A502,18,18H,True,A501,99,A500,,N,B,Y,N,0,2,0,0.0
A503,02,2A,True,A503,99,A500,,N,B,Y,N,1,124,0,0.0
A504,01,1K,True,A504,99,A500,,N,B,Y,N,1,124,0,0.0
A505,18,18H,True,A501,99,A500,,N,B,Y,N,1,124,0,0.0
A506,18,18H,True,A501,99,A500,,N,B,Y,N,1,124,0,0.0
A507,18,18H,True,A501,99,A500,,N,B,Y,N,1,124,0,0.0
A509,18,18H,True,A501,99,A500,,N,B,Y,N,0,124,0,0.0
A510,12,12C,False,,0,,,N,B,Y,N,1,124,0,0.0
A510,13,13D,False,,0,,,N,B,Y,N,1,124,0,0.0
A511,18,18H,True,A511,99,A511,,N,B,Y,N,1,124,0,0.0
A512,18,18H,False,,0,,,N,B,Y,N,1,124,0,0.0
A513,09,9J,True,A513,99,A511,,N,B,Y,N,1,124,0,0.0
A514,18,18H,True,A511,99,A511,,N,B,Y,N,1,124,0,0.0
A515,18,18H,False,,0,,,N,B,Y,N,1,124,0,0.0
A519,18,18H,False,,0,,,N,B,Y,N,1,124,0,0.0
A520,05,5R,False,,0,,,N,B,Y,N,16,124,0,0.0
A521,01,1D,True,A521,99,A521,,N,B,Y,N,16,124,0,0.0
A522,01,1K,True,A521,99,A521,,N,B,Y,N,16,124,0,0.0
A523,01,1D,True,A521,99,A521,,N,B,Y,N,16,124,0,0.0
A527,18,18H,True,A527,99,A521,,N,B,Y,N,16,124,0,0.0
A528,18,18H,False,,0,,,N,B,Y,N,16,124,0,0.0
A529,18,18H,False,,0,,,N,B,Y,N,16,124,0,0.0
A530,18,18H,False,,0,,,N,B,Y,N,1,124,0,0.0
A539,18,18H,False,,0,,,N,B,Y,N,1,124,0,0.0
A540,12,12C,True,A540,0,A540,,N,B,Y,N,1,124,0,0.0
A540,13,13D,True,A540,0,A540,,N,B,Y,N,1,124,0,0.0
A541,12,12C,True,A540,0,A540,,N,B,Y,N,1,124,0,0.0
A541,13,13D,True,A540,0,A540,,N,B,Y,N,1,124,0,0.0
A542,12,12C,True,A540,0,A540,,N,B,Y,N,1,124,0,0.0
A542,13,13E,True,A540,0,A540,,N,B,Y,N,1,124,0,0.0
A543,02,2A,True,A543,99,A540,,N,B,Y,N,0,124,0,0.0
A544,08,8G,False,,0,,,N,B,Y,N,0,124,0,0.0
A545,03,3C,True,A545,99,A540,,N,B,Y,N,0,124,0,0.0
A546,18,18H,True,A546,99,A540,,N,B,Y,N,1,124,0,0.0
A548,18,18H,True,A548,99,A540,,N,B,Y,N,0,124,0,0.0
A549,18,18H,True,A549,99,A549,,N,B,Y,N,0,124,0,0.0
A55,12,12C,True,A55,0,A55,,N,B,Y,N,1,124,0,0.0
A55,13,13D,True,A55,0,A55,,N,B,Y,N,1,124,0,0.0
A560,12,12C,True,A560,0,A55,,N,B,Y,N,1,124,0,0.0
A560,13,13D,True,A560,0,A55,,N,B,Y,N,1,124,0,0.0
A561,12,12C,True,A560,0,A55,,N,B,Y,N,1,124,0,0.0
A561,13,13E,True,A560,0,A55,,N,B,Y,N,1,124,0,0.0
A562,12,12C,True,A560,0,A55,,N,B,Y,N,1,124,0,0.0
A562,13,13E,True,A560,0,A55,,N,B,Y,N,1,124,0,0.0
A563,18,18H,True,A563,99,A55,,N,B,Y,N,1,124,0,0.0
A564,03,3C,False,,0,,,N,B,Y,N,1,124,0,0.0
A568,12,12C,True,A568,0,A55,,N,B,Y,N,1,124,0,0.0
A568,13,13E,True,A568,0,A55,,N,B,Y,N,1,124,0,0.0
A57,12,12C,True,A57,0,A55,,N,B,Y,N,1,124,0,0.0
A57,13,13D,True,A57,0,A55,,N,B,Y,N,1,124,0,0.0
A58,12,12C,True,A57,0,A55,,N,B,Y,N,1,124,0,0.0
A58,13,13D,True,A57,0,A55,,N,B,Y,N,1,124,0,0.0
A590,12,12C,False,,0,,,N,B,Y,N,1,124,0,0.0
A590,13,13D,False,,0,,,N,B,Y,N,1,124,0,0.0
A598,18,18H,False,,0,,,N,B,Y,N,1,124,0,0.0
A599,18,18H,False,,0,,,N,B,Y,N,1,124,0,0.0
A600,12,12C,False,,0,,D,N,B,Y,N,1,124,0,0.0
A600,13,13D,False,,0,,D,N,B,Y,N,1,124,0,0.0
A601,12,12C,False,,0,,D,N,B,Y,N,1,124,0,0.0
A609,12,12C,False,,0,,D,N,B,Y,N,1,124,0,0.0
A609,13,13D,False,,0,,D,N,B,Y,N,1,124,0,0.0
A630,12,12C,False,,0,,,N,B,Y,N,1,124,0,0.0
A630,13,13D,False,,0,,,N,B,Y,N,1,124,0,0.0
A638,12,12C,False,,0,,,N,B,Y,N,1,124,0,0.0
A638,13,13D,False,,0,,,N,B,Y,N,1,124,0,0.0
A64,12,12C,False,,0,,,N,B,Y,N,1,124,0,0.0
A64,13,13D,False,,0,,,N,B,Y,N,1,124,0,0.0
A65,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
